Timestamp,Current Water Level (%),People Using Water,Temperature (°C),Season,Time of Day,Water Usage Last Hour (liters),Required Water (%)
2024-01-01 00:00:00,52.642926005377035,0,1.7908722704947042,Winter,Night,0.0,47.357073994622965
2024-01-01 01:00:00,57.170889505074264,2,7.962185396353373,Winter,Night,2.566925590109756,46.829110494925736
2024-01-01 02:00:00,30.084463688660335,1,7.099200600364403,Winter,Night,1.870874321631277,71.91553631133966
2024-01-01 03:00:00,47.94594462039724,1,11.568022260797928,Winter,Night,0.9645414116162558,54.05405537960276
2024-01-01 04:00:00,58.90891193795215,3,12.812863853922527,Winter,Night,9.887816325587574,47.09108806204785
2024-01-01 05:00:00,39.840567227133434,0,11.544600585978523,Winter,Night,0.0,60.159432772866566
2024-01-01 06:00:00,48.78067571765696,7,15.313108940129162,Winter,Morning,13.300656616588473,65.21932428234304
2024-01-01 07:00:00,24.570599412369287,7,1.3682725932877577,Winter,Morning,19.605548313502148,89.42940058763071
2024-01-01 08:00:00,60.9887828642364,4,8.757987490928013,Winter,Morning,10.781842328844789,47.0112171357636
2024-01-01 09:00:00,31.628248732479893,8,17.22883836212887,Winter,Morning,14.183364760974934,84.37175126752011
2024-01-01 10:00:00,46.290504757153656,6,3.9044473507366586,Winter,Morning,14.034674357847884,65.70949524284634
2024-01-01 11:00:00,66.33952479718442,9,16.15921114160981,Winter,Morning,18.26417808051203,51.660475202815576
2024-01-01 12:00:00,53.83088473868662,5,4.6560158959820885,Winter,Afternoon,11.534766778388379,56.16911526131338
2024-01-01 13:00:00,34.05279374349918,7,11.61685674734304,Winter,Afternoon,15.006395108816044,79.94720625650082
2024-01-01 14:00:00,70.66451737184187,6,7.149513636814548,Winter,Afternoon,10.366050280897282,41.33548262815813
2024-01-01 15:00:00,68.22930824679769,3,11.3228127548883,Winter,Afternoon,5.496096775199873,37.770691753202314
2024-01-01 16:00:00,33.09148566348248,2,8.72034369617359,Winter,Afternoon,2.7317144117872445,70.90851433651753
2024-01-01 17:00:00,61.58044919147574,8,13.334094354571269,Winter,Afternoon,16.268224871914153,54.41955080852426
2024-01-01 18:00:00,40.481524652558306,10,17.556481005859283,Winter,Evening,15.429288461089435,79.5184753474417
2024-01-01 19:00:00,51.036820278716846,4,12.572940669095477,Winter,Evening,3.2721793084049615,56.963179721283154
2024-01-01 20:00:00,34.751836478012535,4,6.7549084339159915,Winter,Evening,9.627900262399885,73.24816352198746
2024-01-01 21:00:00,41.34019189052742,2,3.5068081063778624,Winter,Evening,5.367617638606898,62.65980810947258
2024-01-01 22:00:00,42.80969857169546,4,9.57096214216954,Winter,Night,7.330198248312061,65.19030142830454
2024-01-01 23:00:00,44.87574127848584,3,5.289868638800305,Winter,Night,4.670204843432814,61.12425872151416
2024-01-02 00:00:00,42.373532061718734,2,9.321585414962522,Winter,Night,4.714039278282731,61.626467938281266
2024-01-02 01:00:00,63.67403835373279,3,19.87741919841702,Winter,Night,5.0386813705707985,42.32596164626721
2024-01-02 02:00:00,47.33915044368243,3,11.943676192419556,Winter,Night,7.625263687078786,58.66084955631757
2024-01-02 03:00:00,61.48667600474961,2,11.23676196624528,Winter,Night,4.75947850952152,42.51332399525039
2024-01-02 04:00:00,53.56800973182546,0,13.549416429042637,Winter,Night,0.0,46.43199026817454
2024-01-02 05:00:00,47.790980881634724,2,9.294671386203024,Winter,Night,2.830377389353516,56.209019118365276
2024-01-02 06:00:00,41.31521931586831,5,13.134106152019491,Winter,Morning,12.98098073032775,68.68478068413168
2024-01-02 07:00:00,43.70065103972171,10,17.318939860273183,Winter,Morning,12.882520384363133,76.29934896027828
2024-01-02 08:00:00,48.82928336479924,3,3.467428514160604,Winter,Morning,4.1071234754130055,57.17071663520076
2024-01-02 09:00:00,36.7152393014213,4,13.831809263342183,Winter,Morning,9.039747462995082,71.28476069857871
2024-01-02 10:00:00,68.87412655019749,2,11.036439302760296,Winter,Morning,2.8227678061033843,35.12587344980251
2024-01-02 11:00:00,51.61427935268936,3,7.82000970135128,Winter,Morning,4.042471637959116,54.38572064731064
2024-01-02 12:00:00,52.220962844074556,7,13.073057809239677,Winter,Afternoon,19.454521319352555,61.779037155925444
2024-01-02 13:00:00,92.20700487965192,10,9.792742329456553,Winter,Afternoon,20.329770782747442,27.79299512034808
2024-01-02 14:00:00,49.586524194614384,4,3.1026403757579732,Winter,Afternoon,9.232269432023154,58.413475805385616
2024-01-02 15:00:00,23.909603366904328,10,9.62548899989885,Winter,Afternoon,22.13460797001959,96.09039663309568
2024-01-02 16:00:00,47.36063789901972,3,10.211162663880502,Winter,Afternoon,6.71690629738748,58.63936210098028
2024-01-02 17:00:00,37.17598623978752,5,3.9054889295408586,Winter,Afternoon,11.442049720577536,72.82401376021248
2024-01-02 18:00:00,56.17827647861975,7,5.547028546265364,Winter,Evening,11.885138242140199,57.82172352138025
2024-01-02 19:00:00,67.35362508055302,9,16.59920619282887,Winter,Evening,20.725822714659607,50.646374919446984
2024-01-02 20:00:00,74.96073927954683,3,8.385995770979402,Winter,Evening,3.6704011446399396,31.03926072045317
2024-01-02 21:00:00,52.52459671964637,2,12.192292930469783,Winter,Evening,3.782036796363011,51.47540328035363
2024-01-02 22:00:00,12.114255273026167,1,2.5442955383749712,Winter,Night,1.6904363508278255,89.88574472697383
2024-01-02 23:00:00,58.07200964716027,3,15.680764564162493,Winter,Night,6.807026070607597,47.92799035283973
2024-01-03 00:00:00,36.03900276552393,0,5.120777419984124,Winter,Night,0.0,63.96099723447607
2024-01-03 01:00:00,21.771143891092205,3,19.84255145992912,Winter,Night,6.953670034303963,84.22885610890779
2024-01-03 02:00:00,36.97042287102798,0,16.915959996913458,Winter,Night,0.0,63.02957712897202
2024-01-03 03:00:00,38.060497813731175,1,9.150344822951535,Winter,Night,2.070922433168034,63.939502186268825
2024-01-03 04:00:00,84.45135206998985,2,13.996514316805104,Winter,Night,5.15488098284704,19.548647930010148
2024-01-03 05:00:00,60.872885684062425,0,18.448184657134625,Winter,Night,0.0,39.127114315937575
2024-01-03 06:00:00,46.19154110818914,5,10.114375228193918,Winter,Morning,10.796571450408415,63.80845889181086
2024-01-03 07:00:00,57.811597583409245,10,12.866661477807755,Winter,Morning,19.494961713722326,62.188402416590755
2024-01-03 08:00:00,60.91721792224004,3,11.793841627405719,Winter,Morning,4.84193900202647,45.08278207775996
2024-01-03 09:00:00,43.52418111761477,4,5.246024844749085,Winter,Morning,9.029264369510429,64.47581888238523
2024-01-03 10:00:00,67.7769948997645,9,19.693960816616553,Winter,Morning,14.223534683303079,50.2230051002355
